Game,away,away-record,awayaway-record,home,home-record,homehome-record,away-score,home-score,postseason info,Walks Issued - Away,Walks Issued - Home,Stolen Bases - Away,Stolen Bases - Home,Strikeouts Thrown - Away,Strikeouts Thrown - Home,Total Bases - Away,Total Bases - Home,Stadium,Date,Location,Odds,O/U,Attendance,Capacity,Duration,Umpires,WIN - Pitcher - Stats,WIN - Pitcher - Id,WIN - Pitcher - Name,WIN - Pitcher - AbbrName,WIN - Pitcher - Record,LOSS - Pitcher - Stats,LOSS - Pitcher - Id,LOSS - Pitcher - Name,LOSS - Pitcher - AbbrName,LOSS - Pitcher - Record,SAVE - Pitcher - Stats,SAVE - Pitcher - Id,SAVE - Pitcher - Name,SAVE - Pitcher - AbbrName,SAVE - Pitcher - Record,Extra Innings
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Coverage: ESPN2,,,,,,,,,,,,,,,,,,,,,,,,
360404111,CHW,Jan-00,1-0 Away,OAK,0-1,0-1 Home,4,3,,3,1,0,0,10,6,10,9,Oakland Coliseum,2016-04-05T02:05Z,"Oakland, California",,,"35,067","35,067",2:56,"Home Plate Umpire - Tom Hallion, First Base Umpire - Phil Cuzzi, Second Base Umpire - Dan Bellino, Third Base Umpire - Gabe  Morales","7.0 IP, 3 ER, 8 K, 1 BB",30948,Chris Sale,C. Sale,(1-0),"2.2 IP, 2 ER, 3 K, 1 BB",6321,Rich Hill,R. Hill,(0-1),"1.0 IP, 0 ER, 1 K, 1 BB",29172,David Robertson,D. Robertson,-1,
,,,,,,,,,,,,,,,,,,,,94621,,,,,,,,,,,,,,,,,,,,,,
360405110,HOU,Jan-00,1-0 Away,NYY,0-1,0-1 Home,5,3,,4,3,3,1,8,10,11,8,Yankee Stadium,2016-04-05T17:00Z,"Bronx, New York",,,"47,820","47,422",3:17,"Home Plate Umpire - Dana DeMuth, First Base Umpire - Greg Gibson, Second Base Umpire - Ed Hickox, Third Base Umpire - Mike Estabrook","7.0 IP, 2 ER, 5 K, 4 BB",31815,Dallas Keuchel,D. Keuchel,(1-0),"0.2 IP, 0 ER, 1 K, 2 BB",31122,Dellin Betances,D. Betances,(0-1),"1.0 IP, 0 ER, 1 K, 0 BB",30276,Luke Gregerson,L. Gregerson,-1,
,,,,,,,,,,,,,,,,,,,,10451,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Coverage: ESPN,,,,,,,,,,,,,,,,,,,,,,,,
360405105,BOS,Jan-00,1-0 Away,CLE,0-1,0-1 Home,6,2,,3,6,0,0,15,8,18,5,Progressive Field,2016-04-05T17:10Z,"Cleveland, Ohio",,,"34,493","35,041",3:13,"Home Plate Umpire - John  Hirschbeck, First Base Umpire - Bill Welke, Second Base Umpire - Vic Carapazza, Third Base Umpire - D.J. Reyburn","6.0 IP, 2 ER, 10 K, 2 BB",28958,David Price,D. Price,(1-0),"5.1 IP, 4 ER, 5 K, 2 BB",30981,Corey Kluber,C. Kluber,(0-1),,,,,,
,,,,,,,,,,,,,,,,,,,,44115,,,,,,,,,,,,,,,,,,,,,,
